timestamp,label,cpu_usage,cpu_delta,network_rx_rps,net_delta,memory_usage_mb,payment_cpu,restart_rate,pod_restarts_5m
2026-05-25 15:21:25,0,0.053553,-0.001204,32.621507,-18.4712,1441.757812,0.000947,0.0,0.0
2026-05-25 15:21:45,0,0.056782,0.003229,34.351313,1.7298,1438.421875,0.000667,0.0,0.0
2026-05-25 15:22:05,0,0.151618,0.094836,292.696294,258.345,1443.59375,0.0006,0.0,0.0
2026-05-25 15:22:27,0,0.261359,0.109741,410.843311,118.147,1460.589844,0.000599,0.0,0.0
2026-05-25 15:22:49,0,0.309534,0.048175,247.720481,-163.1228,1529.746094,0.000726,0.0,0.0
2026-05-25 15:23:15,0,0.316527,0.006993,181.288386,-66.4321,1525.796875,0.000548,0.0,0.0
2026-05-25 15:23:34,0,0.305601,-0.010926,143.681768,-37.6066,1654.121094,0.000575,0.0,0.0
2026-05-25 15:23:53,0,0.286916,-0.018685,247.803823,104.1221,790.417969,0.00094,0.0,0.0
2026-05-25 15:24:12,0,0.319771,0.032855,311.594893,63.7911,922.667969,0.000607,0.033333,1.111111
2026-05-25 15:24:32,0,0.263676,-0.056095,288.845272,-22.7496,1058.296875,0.000813,0.033333,1.111111
2026-05-25 15:24:52,0,0.311452,0.047776,269.807553,-19.0377,1094.273438,0.000901,0.0,1.111111
2026-05-25 15:25:14,0,0.306373,-0.005079,263.910561,-5.897,1117.164062,0.000533,0.0,1.111111
2026-05-25 15:25:36,0,0.307105,0.000732,247.019815,-16.8907,1173.054688,0.000555,0.0,1.111111
2026-05-25 15:25:56,0,0.27284,-0.034265,243.666371,-3.3534,1185.835938,0.000683,0.0,1.111111
2026-05-25 15:26:18,0,0.263693,-0.009147,251.208139,7.5418,1209.40625,0.000806,0.0,1.111111
2026-05-25 15:26:37,0,0.263569,-0.000124,254.599017,3.3909,1236.914062,0.000544,0.0,1.111111
2026-05-25 15:26:55,0,0.322406,0.058837,473.604383,219.0054,1263.027344,0.000832,0.0,1.111111
2026-05-25 15:27:14,0,0.373915,0.051509,507.5877,33.9833,1391.800781,0.000519,0.0,1.111111
2026-05-25 15:27:35,0,0.269964,-0.103951,209.577507,-298.0102,1404.738281,0.000532,0.0,1.111111
2026-05-25 15:27:56,0,0.277974,0.00801,164.135846,-45.4417,1510.871094,0.000685,0.0,1.111111
2026-05-25 15:28:19,0,0.288305,0.010331,357.020215,192.8844,1580.398438,0.000561,0.0,1.111111
2026-05-25 15:28:42,0,0.281231,-0.007074,354.81062,-2.2096,797.933594,0.000578,0.033333,1.111111
2026-05-25 15:29:03,0,0.290865,0.009634,375.309063,20.4984,851.707031,0.001057,0.033333,1.111111
2026-05-25 15:29:26,0,0.29381,0.002945,468.603122,93.2941,973.246094,0.001048,0.0,1.111111
2026-05-25 15:29:47,0,0.324771,0.030961,376.822582,-91.7805,1085.832031,0.000749,0.0,1.111111
2026-05-25 15:30:07,0,0.303615,-0.021156,403.584192,26.7616,1105.582031,0.000611,0.0,1.111111
