timestamp,cpu_usage,network_rx_rps,memory_usage_mb,restart_rate,label
2026-04-14 19:35:40,0.2674,23.6393,1707.6602,0.0,2
2026-04-14 19:35:55,0.1941,33.8238,1700.3164,0.0,2
2026-04-14 19:36:11,0.2975,59.4113,1699.5078,0.0,2
2026-04-14 19:36:26,0.3182,137.6402,1701.6289,0.0,2
2026-04-14 19:36:42,0.3027,139.1703,1699.6758,0.0,2
2026-04-14 19:36:57,0.2682,79.5735,1657.7031,0.0,2
2026-04-14 19:37:13,0.2785,48.6082,1684.75,0.0,2
2026-04-14 19:37:28,0.2777,65.0432,1661.5117,0.0,2
2026-04-14 19:37:44,0.2116,91.6593,1660.0625,0.0,2
2026-04-14 19:38:00,0.235,125.7162,1649.7383,0.0,2
2026-04-14 19:38:15,0.2573,103.5868,1650.0938,0.0,2
2026-04-14 19:38:31,0.2748,96.2465,1650.5664,0.0,2
2026-04-14 19:38:46,0.2865,98.5429,1652.1758,0.0,2
2026-04-14 19:39:02,0.2946,137.6456,1653.5234,0.0,2
2026-04-14 19:39:17,0.2724,152.2367,1655.8164,0.0,2
2026-04-14 19:39:33,0.2564,212.9824,1653.5273,0.0,2
2026-04-14 19:39:48,0.3405,344.4683,1523.7188,0.0,2
2026-04-14 19:40:04,0.3429,325.9731,1522.3828,0.0,2
2026-04-14 19:40:19,0.2863,284.9712,1536.8398,0.0,2
2026-04-14 19:40:35,0.3079,357.761,1537.75,0.0,2
2026-04-14 19:40:50,0.3596,468.5404,1591.1406,0.0,2
2026-04-14 19:41:05,0.3083,546.2861,1596.625,0.0,2
2026-04-14 19:41:21,0.3401,385.9511,1592.8281,0.0,2
2026-04-14 19:41:36,0.3397,364.9674,1592.625,0.0,2
2026-04-14 19:41:52,0.3448,245.2201,1594.0234,0.0,2
2026-04-14 19:42:07,0.3219,144.7294,1620.293,0.0,2
2026-04-14 19:42:23,0.2681,81.2539,1648.0547,0.0,2
2026-04-14 19:42:38,0.2448,84.8062,1671.7109,0.0,2
2026-04-14 19:42:54,0.2283,95.1464,1671.5352,0.0,2
2026-04-14 19:43:09,0.2802,78.3326,1651.8477,0.0,2
2026-04-14 19:43:25,0.2846,91.0735,1652.6172,0.0,2
2026-04-14 19:43:40,0.2262,116.5225,1657.3906,0.0,2
2026-04-14 19:43:56,0.2364,120.9755,1658.2891,0.0,2
2026-04-14 19:44:11,0.2966,80.1681,1658.8516,0.0,2
2026-04-14 19:44:26,0.3134,95.3466,1661.6445,0.0,2
2026-04-14 19:44:42,0.2645,86.9254,1651.3398,0.0,2
2026-04-14 19:44:57,0.2377,103.1422,1653.0273,0.0,2
2026-04-14 19:45:13,0.2477,95.665,1682.5977,0.0,2
2026-04-14 19:45:28,0.2588,85.5036,1653.3594,0.0,2
2026-04-14 19:45:43,0.2447,98.4576,1657.9375,0.0,2
2026-04-14 19:45:59,0.2741,97.4092,1652.6953,0.0,2
2026-04-14 19:46:14,0.218,90.5114,1683.8438,0.0,2
2026-04-14 19:46:30,0.2726,65.7717,1653.0664,0.0,2
2026-04-14 19:46:45,0.2411,82.2557,1651.1445,0.0,2
2026-04-14 19:47:01,0.2288,94.3969,1651.5117,0.0,2
2026-04-14 19:47:16,0.2704,102.7882,1681.8633,0.0,2
2026-04-14 19:47:31,0.2394,100.2356,1652.9531,0.0,2
2026-04-14 19:47:47,0.2917,102.4089,1648.7344,0.0,2
2026-04-14 19:48:02,0.2945,162.6835,1649.6836,0.0,2
2026-04-14 19:48:18,0.2925,264.8853,1654.5352,0.0,2
2026-04-14 19:48:33,0.2865,306.5396,1685.2383,0.0,2
2026-04-14 19:48:49,0.3396,320.8527,1655.2852,0.0,2
2026-04-14 19:49:04,0.2694,324.4877,1655.5469,0.0,2
2026-04-14 19:49:19,0.3022,341.1394,1655.1602,0.0,2
2026-04-14 19:49:35,0.3604,354.1074,1655.1523,0.0,2
2026-04-14 19:49:50,0.3474,318.9854,1656.3203,0.0,2
2026-04-14 19:50:06,0.3377,317.9379,1655.207,0.0,2
2026-04-14 19:50:21,0.2654,275.8633,1654.3789,0.0,2
2026-04-14 19:50:37,0.2971,284.1801,1655.6055,0.0,2
